date,state,city,school,longitude,latitude,link,iglink
March 14,Tennessee,Hendersonville,Hendersonville High School,-86.6054698,36.3033505,https://actionnetwork.org/events/hendersonville-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/503270108/hendersonville-high-school/
March 14,Colorado,Pueblo,Pueblo Centennial High School,-104.6374669,38.3041192,https://actionnetwork.org/events/enough-national-school-walkout-centennial?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/866311907/centennial-high-school/
March 14,Colorado,Pueblo,Pueblo Central High School,-104.624863,38.253852,https://actionnetwork.org/events/central-high-school-enough-walk-out?referrer=&source=&email_referrer=&can_id=,FALSE
March 14,Washington DC,"Washington, DC",The Catholic University of America,-76.998692,38.9368811,https://www.facebook.com/events/2118299605067451/,https://www.instagram.com/explore/locations/1818173/the-catholic-university-of-america/
March 14,Colorado,Highlands Ranch,Highlands Ranch,-104.9739333,39.5480789,https://actionnetwork.org/events/cresthill-middle-school-walkout-against-gun-violence?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/491429886/cresthill-middle-school/
March 14,Colorado,Highlands Ranch,Douglas County High School,-104.9328654,39.5445848,https://actionnetwork.org/events/douglas-county-hs-enough-national-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/234363585/douglas-county-high-school/
March 14,Montana,Billings,All Billings Schools,-108.5267,45.7774423,https://actionnetwork.org/events/protest-gun-violence-in-our-schools?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/219271657/billings-montana/
March 14,Montana,Helena,Caroll College,-112.03888,46.600734,https://actionnetwork.org/events/carroll-college-enough-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/47380/carroll-college/
March 14,Montana,Gellatin Gateway,Lone Peak High School,-111.251858,45.2288448,https://actionnetwork.org/events/enough-national-school-walkout-113?referrer=&source=&email_referrer=&can_id=,FALSE
March 14,Montana,Kalispell,Glacier High School,-114.3447418,48.2386026,https://actionnetwork.org/events/enough-national-school-walkout-83?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/821836963/glacier-high-school/
March 14,Montana,Lakeside,Lakeside Elementary School,-114.2267799,48.0201093,https://actionnetwork.org/events/lakeside-elementary-national-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/721162834/lakeside-elementary-school/
March 14,Montana,Missoula,Missoula International School,-113.9749041,46.8730263,https://actionnetwork.org/events/missoula-international-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/28884660/missoula-international-school/
March 14,Montana,Helena,Captial High School,-112.0484471,46.614308,https://www.facebook.com/events/2017483094947555/,https://www.instagram.com/explore/locations/258751045/capital-high-school-helena-montana/
March 14,Colorado,Arvada,Ralston Valley High School,-105.1507059,39.8434432,https://actionnetwork.org/events/enough-national-school-walkout-45,https://www.instagram.com/explore/locations/9627890/ralston-valley-high-school/
March 14,Colorado,Denver,Highline Academy,-104.9306904,39.6769947,https://actionnetwork.org/events/highline-academy-se-enough-middle-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/6227615/highline-academy-charter-school/
March 14,Colorado,Greenwood Village,Campus Middle School,-104.8775213,39.6294711,https://actionnetwork.org/events/campus-middle-school-2?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/756408998/campus-middle-school/
March 14,Colorado,Centennial,Peabody Elementary,-104.9521845,39.6031184,https://actionnetwork.org/events/peabody-elementary?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/770754813/peabody-elementary-school/
March 14,Colorado,Denver,Denver South High School,-104.9660181,39.6921629,https://actionnetwork.org/events/never-again-4?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/237584501/denver-south-high-school/
March 14,Colorado,Leadville,Lake County High School,-106.3047168,39.2440358,https://actionnetwork.org/events/lake-county-enough-national-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1585852425027109/lake-county-high-school/
March 14,Colorado,Salida,Salida Middle School,-105.9941337,38.5266482,https://actionnetwork.org/events/enough-national-school-walkout-117?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/863739702/salida-middle-school/
March 14,Alaska,Juneau,Juneau-Douglas High School,-134.4293952,58.3047776,FALSE,https://www.instagram.com/explore/locations/234670524/juneau-douglas-high-school/
March 14,Alaska,Juneau,Thunder Mountain High School ,-134.5912527,58.3796573,FALSE,https://www.instagram.com/explore/locations/756844311/thunder-mountain-high-school/
March 14,Pennsylvania,Pittsburgh,Upper St. Clair High School,-80.070924,40.334753,https://actionnetwork.org/events/usc-has-had-enough?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1010646933/upper-st-clair-school-district/
March 14,Pennsylvania,Pittsburgh,"Greenfield Elementary School
",-79.9445126,40.426433,https://actionnetwork.org/events/national-school-walkout-92?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/401476763/greenfield-elementary-school/
March 14,Pennsylvania,Erie,Erie High School,-80.0822148,42.1018164,https://actionnetwork.org/events/erie-high-school-walkout?referrer=&source=&email_referrer=&can_id=,FALSE
March 14,Pennsylvania,Erie,McDowell High School,-80.1494162,42.07273,https://actionnetwork.org/events/mcdowell-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/250619296/mcdowell-high-school/
March 14,Pennsylvania,Canonsburg,Canon McMillan High School,-80.194655,40.250597,https://actionnetwork.org/events/canon-mcmillan-high-school?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/270271804/canon-mcmillan-school-district/
March 14,Pennsylvania,Imperial,West Allegheny Senior High School,-80.2400716,40.4489556,https://actionnetwork.org/events/west-allegheny-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1028663468/west-allegheny-senior-high-school/
March 14,Pennsylvania,State College,State College Area High School,-77.856502,40.7809803,https://actionnetwork.org/events/scahs-national-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/248703211/state-college-area-high-school/
March 14,Pennsylvania,Slippery Rock,Slippery Rock Area High School,-80.043127,41.0554817,https://actionnetwork.org/events/slippery-rock-high-school-walk-out?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1017486233/slippery-rock-areahigh-school/
March 14,Pennsylvania,Hamburg,Blue Mountain Academy,-76.0358764,40.5538561,https://actionnetwork.org/events/hate-has-no-home-here-or-anywhere-else?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/2827697/blue-mountain-academy/
March 14,Pennsylvania,Philadelphia,Academy at Palumbo,-75.1616977,39.9400309,https://actionnetwork.org/events/palumbo-walk-out?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/6002129/the-academy-at-palumbo/
March 14,Pennsylvania,Philadelphia,School District of Philadelphia,-75.16278,39.9611552,https://actionnetwork.org/events/student-vision-for-school-safety?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1395475/school-district-of-philadelphia/
March 14,Pennsylvania,Philadelphia,Kensington High School,-75.1263108,39.983958,https://actionnetwork.org/events/kensington-capa-end-to-gun-violence-2?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/577573061/kensington-creative-performing-artshigh-school/
March 14,Pennsylvania,Lansdale,North Penn High School,-75.315446,40.2347666,https://actionnetwork.org/events/enough-national-school-walkout-at-north-penn-high-school?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/234486004/north-penn-high-school/
March 14,Pennsylvania,Kutztown,Kutztown Area Middle School,-75.769217,40.5130932,https://actionnetwork.org/events/kutztown-area-middle-school-national-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1030961433/kutztown-areamiddle-school/
March 14,Pennsylvania,Havertown,Haverford High School,-75.3016129,39.983699,https://actionnetwork.org/events/enough-haverford-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/235204025/haverford-high-school/
March 14,Pennsylvania,Hershey,Hershey High School,-76.641183,40.276956,https://actionnetwork.org/events/hershey-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/222684474/hershey-high-school/
March 14,Pennsylvania,Harrisburg,Susquehanna Township High School,-76.8339655,40.2804555,https://actionnetwork.org/events/sths-walkout-enough?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/967892059/susquehanna-township-high-school/
March 14,Pennsylvania,Philadelphia,Science Leadership Academy,-75.1761723,39.9558206,https://actionnetwork.org/events/science-leadership-academy-that-could-have-been-us?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/428602000490888/science-leadership-academy-families/
March 14,Minnesota,Marshall,Southwest Minnesota State University,-95.759773,44.4560884,https://actionnetwork.org/events/walkout-smsu-marshall-mn?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/4985734/southwest-minnesota-state-university/
March 14,Minnesota,Pipestone,Pipstone Area High School,-96.3397234,43.9974245,https://actionnetwork.org/events/pas-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/980298355/pipestone-area-high-school/
March 14,Minnesota,Alexandria,Alexandria Area High School,-95.3633264,45.8528032,https://actionnetwork.org/events/voyager-elementary-school-walk-out?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/958756203/alexandria-public-schools/
March 14,Minnesota,Morris,Morris Area High School,-95.9007669,45.5838025,https://actionnetwork.org/events/enough-22?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1017680724/morris-area-school-district/
March 14,Minnesota,Zimmerman,Zimmerman High School,-93.5952872,45.4383792,https://actionnetwork.org/events/zimmerman-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/478508897/zimmerman-high-school/
March 14,Minnesota,Saint Paul,Creative Arts Secondary School,-93.0909188,44.9451284,https://actionnetwork.org/events/creative-arts-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1017954068/creative-arts-secondary-school/
March 14,Minnesota,Rochester,John Marshall High School,-92.4845248,44.0349664,https://actionnetwork.org/events/never-again-john-marshall-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/253144620/john-marshall-high-school-minnesota/
March 14,Minnesota,Minneapolis,Lyndale Community School,-93.2834701,44.9419408,https://actionnetwork.org/events/hands-around-lyndale?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/912451811/lyndale-community-school-pto/
March 14,Minnesota,Chaska,Chaska High School,-93.589375,44.824199,https://actionnetwork.org/events/chaska-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/214797162/chaska-high-school/
March 14,Minnesota,Saint Paul,Highland Park High School,-93.1674531,44.9102973,https://actionnetwork.org/events/highland-park-enough-national-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/223516377/highland-park-high-school-minnesota/
March 14,Minnesota,Eagan,Eagan High School,-93.1344321,44.8073264,https://actionnetwork.org/events/eagan-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/239010882/eagan-high-school/
March 14,Minnesota,Chaska,Chaska High School,-93.589375,44.824199,https://actionnetwork.org/events/chaska-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/214797162/chaska-high-school/
March 14,Minnesota,Chanhassen,Chanhassen High School,-93.5743954,44.8452112,https://actionnetwork.org/events/chanhassen-high-school?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/9497657/chanhassen-high-school/
March 14,Minnesota,Minnetonka,Minnetonka High School,-93.5112369,44.9091891,https://actionnetwork.org/events/minnetonka-high-school-gun-control-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/876856869/minnetonka-high-school/
March 14,Minnesota,Eden Prarie,Eden Prarie High School,-93.4930813,44.8717713,https://actionnetwork.org/events/eden-prairie-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/742820961/eden-prairie-senior-high/
March 14,Minnesota,Edina,Edina High School,-93.3768045,44.8825618,https://actionnetwork.org/events/edina-high-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/218980069/edina-high-school/
March 14,Minnesota,Bloomington,Oak Grove Middle School,-93.2951742,44.8125907,https://actionnetwork.org/events/oak-grove-middle-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/790176476/oak-grove-middle/
March 14,Minnesota,Saint Paul,Great River School,-93.1553102,44.9701796,https://actionnetwork.org/events/great-river-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/1451211908277708/great-river-school/
March 14,Massachusetts,Cambridge,"Cambridge Rindge and Latin School
",-71.1116098,42.3744044,https://actionnetwork.org/events/cambridge-rindge-and-latin-school-enough-national-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/294334416/cambridge-rindge-and-latin-school/
March 14,Massachusetts,Cambridge,Buckingham Browne & Nichols School,-71.135805,42.3718829,https://actionnetwork.org/events/bbn-school-walkout?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/235541949/buckingham-browne-nichols-school/
