date,state,city,school,longitude,latitude,link,iglink
March 14,Michigan,Coopersville,Coopersville High School,-85.9223925,43.0658614,https://www.facebook.com/events/1775410029145741/,https://www.instagram.com/explore/locations/737300788/coopersville-high-school/
March 14,New Hampshire,Orford,Rivendell Academy,-72.1376509,43.899294,https://www.facebook.com/events/1796839593955451/,https://www.instagram.com/explore/locations/372049678/rivendell-academy/
March 14,New Hampshire,Portsmouth,National School Walkout - Seacoast of New Hampshire,,,https://www.facebook.com/events/408328249620756/,https://www.instagram.com/explore/locations/215304665/portsmouth-new-hampshire/
March 14,New Jersey,Lawrenceville,Lawrence High School,-74.7309635,40.2655175,https://www.facebook.com/events/152357155453185/,https://www.instagram.com/explore/locations/251738920/lawrence-high-school-new-jersey/
March 14,New Jersey,Montclair,Montclair High School,-74.2129739,40.823288,https://www.facebook.com/events/226267377945633/,https://www.instagram.com/explore/locations/874836852/montclair-high-school-new-jersey/
March 14,New Jersey,Morristown,Morristown High School,-74.4863304,40.8012115,https://www.facebook.com/events/159051714752963/,https://www.instagram.com/explore/locations/1016675920/morristown-high-school/
March 14,New Jersey,Scotch Plains,Scotch Plains-Fanwood High School,-74.3842216,40.6537456,https://www.facebook.com/events/1575550605815761/,https://www.instagram.com/explore/locations/243224748/scotch-plains-fanwood-high-school/
March 14,New Jersey,West Milford,West Milford High School,-74.3810114,41.0791106,https://www.facebook.com/events/734632569994123/,https://www.instagram.com/explore/locations/3544845/west-milford-high-school/
March 14,New York,Brewster,Brewster High School,-73.6034219,41.4422111,https://www.facebook.com/events/559863571057400/,https://www.instagram.com/explore/locations/246738696/brewster-high-school-brewster-new-york/
March 14,New York,Bronxville,Bronxville Union Free School District,-73.8272029,40.9374908,https://www.facebook.com/events/903892243105704/,https://www.instagram.com/explore/locations/1026363643/bronxville-union-free-school-district/
March 14,New York,Buffalo,Villa Maria College,-78.7973749,42.9127719,https://www.facebook.com/events/1575313795916540/,https://www.instagram.com/explore/locations/391706/villa-maria-college/
March 14,New York,Chappaqua,Horace Greeley High School,-73.7579745,41.1752353,https://www.facebook.com/events/1517939024970890/,FALSE
March 14,New York,Clifton Park,Shenendehowa Central School District,-73.8183804,42.844668,https://www.facebook.com/events/196104357789480/,https://www.instagram.com/explore/locations/311364021/shenendehowa-central-school-district/
March 14,New York,Great Neck,William A. Shine Great Neck South High School,-73.7005113,40.7663856,https://www.facebook.com/events/190751081518410/,https://www.instagram.com/explore/locations/221723998/william-a-shine-great-neck-south-high-school/
March 14,New York,Ithaca,Ithaca High School,-76.4976543,42.4550421,https://www.facebook.com/events/431605020607030/,https://www.instagram.com/explore/locations/234330071/ithaca-high-school/
March 14,New York,New Rochelle,New Rochelle High School,-73.7936935,40.9294323,https://www.facebook.com/events/109330626566029/,FALSE
March 14,New York,New York,Baruch College Campus High School,-73.985909,40.7418485,https://www.facebook.com/events/170440427078732/,https://www.instagram.com/explore/locations/279377826/baruch-college-campus-high-school/
March 14,New York,Pittsford,Pittsford Mendon High School,-77.5177314,43.0600668,https://www.facebook.com/events/392410524516682/,https://www.instagram.com/explore/locations/250812270/pittsford-mendon-high-school/
March 14,New York,Queens,St. John's University,-73.7946899,40.7215967,https://www.facebook.com/events/1639326459485278/,https://www.instagram.com/explore/locations/217492744/st-johns-university/
March 14,New York,Rochester,School of the Arts,-77.590789,43.158543,https://www.facebook.com/events/2073843679517683/,https://www.instagram.com/explore/locations/503921431/school-of-the-arts/
March 14,North Carolina,Cullowhee,Western Carolina University,-83.1843781,35.3089224,https://www.facebook.com/events/1586150888167289/,https://www.instagram.com/explore/locations/1824397/western-carolina-university/
March 14,North Carolina,Gastonia,Ashbrook High School,-81.1269334,35.2432006,https://www.facebook.com/events/297842017410753/,https://www.instagram.com/explore/locations/7303040/ashbrook-high-school/
March 14,North Carolina,Hendersonville,West Henderson High,-82.5148451,35.3658136,https://www.facebook.com/events/1691210574275853/,https://www.instagram.com/explore/locations/696528721/west-henderson-high/
March 14,North Dakota,Bismarck,Bismarck High School,-100.7802494,46.813099,https://actionnetwork.org/events/bismarck-high-school-walkout-against-gun-violence?referrer=&source=&email_referrer=&can_id=,https://www.instagram.com/explore/locations/215517955/bismarck-high-school/
